   縣市,   鄉鎮市區,鄉鎮市區名稱,   候選人號次,   姓名,   得票數,   當選註記,   得票率
臺北市,10,松山區,1,吳蕚洋,428,,0.4
臺北市,10,松山區,2,丁守中,46381,,43.36
臺北市,10,松山區,3,姚文智,17387,,16.25
臺北市,10,松山區,4,柯文哲,42356,*,39.6
臺北市,10,松山區,5,李錫錕,420,,0.39
臺北市,20,信義區,1,吳蕚洋,502,,0.41
臺北市,20,信義區,2,丁守中,53955,,43.99
臺北市,20,信義區,3,姚文智,19934,,16.25
臺北市,20,信義區,4,柯文哲,47762,*,38.94
臺北市,20,信義區,5,李錫錕,512,,0.42
臺北市,30,大安區,1,吳蕚洋,585,,0.37
臺北市,30,大安區,2,丁守中,72325,,45.73
臺北市,30,大安區,3,姚文智,23651,,14.95
臺北市,30,大安區,4,柯文哲,60939,*,38.53
臺北市,30,大安區,5,李錫錕,662,,0.42
臺北市,40,中山區,1,吳蕚洋,476,,0.39
臺北市,40,中山區,2,丁守中,46746,,38.38
臺北市,40,中山區,3,姚文智,23483,,19.28
臺北市,40,中山區,4,柯文哲,50604,*,41.55
臺北市,40,中山區,5,李錫錕,491,,0.4
臺北市,50,中正區,1,吳蕚洋,370,,0.46
臺北市,50,中正區,2,丁守中,33897,,41.83
臺北市,50,中正區,3,姚文智,12633,,15.59
臺北市,50,中正區,4,柯文哲,33752,*,41.65
臺北市,50,中正區,5,李錫錕,378,,0.47
臺北市,60,大同區,1,吳蕚洋,266,,0.38
臺北市,60,大同區,2,丁守中,20763,,29.69
臺北市,60,大同區,3,姚文智,16896,,24.16
臺北市,60,大同區,4,柯文哲,31679,*,45.29
臺北市,60,大同區,5,李錫錕,339,,0.48
臺北市,70,萬華區,1,吳蕚洋,427,,0.41
臺北市,70,萬華區,2,丁守中,38666,,37.05
臺北市,70,萬華區,3,姚文智,21400,,20.5
臺北市,70,萬華區,4,柯文哲,43411,*,41.59
臺北市,70,萬華區,5,李錫錕,464,,0.44
臺北市,80,文山區,1,吳蕚洋,707,,0.49
臺北市,80,文山區,2,丁守中,68586,,47.15
臺北市,80,文山區,3,姚文智,18985,,13.05
臺北市,80,文山區,4,柯文哲,56479,*,38.83
臺北市,80,文山區,5,李錫錕,713,,0.49
臺北市,90,南港區,1,吳蕚洋,287,,0.43
臺北市,90,南港區,2,丁守中,26282,,39.45
臺北市,90,南港區,3,姚文智,10830,,16.26
臺北市,90,南港區,4,柯文哲,28896,*,43.37
臺北市,90,南港區,5,李錫錕,325,,0.49
臺北市,100,內湖區,1,吳蕚洋,548,,0.37
臺北市,100,內湖區,2,丁守中,61566,,41.02
臺北市,100,內湖區,3,姚文智,21746,,14.49
臺北市,100,內湖區,4,柯文哲,65599,*,43.7
臺北市,100,內湖區,5,李錫錕,639,,0.43
臺北市,110,士林區,1,吳蕚洋,522,,0.34
臺北市,110,士林區,2,丁守中,55954,,36.46
臺北市,110,士林區,3,姚文智,33110,,21.57
臺北市,110,士林區,4,柯文哲,63247,*,41.21
臺北市,110,士林區,5,李錫錕,651,,0.42
臺北市,120,北投區,1,吳蕚洋,499,,0.37
臺北市,120,北投區,2,丁守中,52445,,39.08
臺北市,120,北投區,3,姚文智,24586,,18.32
臺北市,120,北投區,4,柯文哲,56096,*,41.8
臺北市,120,北投區,5,李錫錕,578,,0.43
高雄市,10,鹽埕區,1,韓國瑜,7633,*,48.28
高雄市,10,鹽埕區,2,陳其邁,7992,,50.55
高雄市,10,鹽埕區,3,璩美鳳,71,,0.45
高雄市,10,鹽埕區,4,蘇盈貴,113,,0.71
高雄市,20,鼓山區,1,韓國瑜,45816,*,57.04
高雄市,20,鼓山區,2,陳其邁,33547,,41.77
高雄市,20,鼓山區,3,璩美鳳,267,,0.33
高雄市,20,鼓山區,4,蘇盈貴,691,,0.86
高雄市,30,左營區,1,韓國瑜,68255,*,61.99
高雄市,30,左營區,2,陳其邁,40526,,36.81
高雄市,30,左營區,3,璩美鳳,346,,0.31
高雄市,30,左營區,4,蘇盈貴,978,,0.89
高雄市,40,楠梓區,1,韓國瑜,59478,*,56.58
高雄市,40,楠梓區,2,陳其邁,44288,,42.13
高雄市,40,楠梓區,3,璩美鳳,379,,0.36
高雄市,40,楠梓區,4,蘇盈貴,973,,0.93
高雄市,50,三民區,1,韓國瑜,105406,*,52.79
高雄市,50,三民區,2,陳其邁,91617,,45.88
高雄市,50,三民區,3,璩美鳳,772,,0.39
高雄市,50,三民區,4,蘇盈貴,1872,,0.94
高雄市,60,新興區,1,韓國瑜,16776,*,53.34
高雄市,60,新興區,2,陳其邁,14237,,45.26
高雄市,60,新興區,3,璩美鳳,107,,0.34
高雄市,60,新興區,4,蘇盈貴,334,,1.06
高雄市,70,前金區,1,韓國瑜,9120,*,53.83
高雄市,70,前金區,2,陳其邁,7608,,44.91
高雄市,70,前金區,3,璩美鳳,53,,0.31
高雄市,70,前金區,4,蘇盈貴,161,,0.95
高雄市,80,苓雅區,1,韓國瑜,57171,*,54.6
高雄市,80,苓雅區,2,陳其邁,46041,,43.97
高雄市,80,苓雅區,3,璩美鳳,401,,0.38
高雄市,80,苓雅區,4,蘇盈貴,1098,,1.05
高雄市,90,前鎮區,1,韓國瑜,59572,*,52.53
高雄市,90,前鎮區,2,陳其邁,52376,,46.19
高雄市,90,前鎮區,3,璩美鳳,472,,0.42
高雄市,90,前鎮區,4,蘇盈貴,982,,0.87
高雄市,100,旗津區,1,韓國瑜,7993,*,45.49
高雄市,100,旗津區,2,陳其邁,9360,,53.27
高雄市,100,旗津區,3,璩美鳳,95,,0.54
高雄市,100,旗津區,4,蘇盈貴,124,,0.71
高雄市,110,小港區,1,韓國瑜,47806,*,51.7
高雄市,110,小港區,2,陳其邁,43464,,47
高雄市,110,小港區,3,璩美鳳,433,,0.47
高雄市,110,小港區,4,蘇盈貴,764,,0.83
高雄市,120,鳳山區,1,韓國瑜,118466,*,56.54
高雄市,120,鳳山區,2,陳其邁,88437,,42.21
高雄市,120,鳳山區,3,璩美鳳,881,,0.42
高雄市,120,鳳山區,4,蘇盈貴,1739,,0.83
高雄市,130,林園區,1,韓國瑜,20149,*,47.4
高雄市,130,林園區,2,陳其邁,21847,,51.4
高雄市,130,林園區,3,璩美鳳,219,,0.52
高雄市,130,林園區,4,蘇盈貴,293,,0.69
高雄市,140,大寮區,1,韓國瑜,35636,*,52.17
高雄市,140,大寮區,2,陳其邁,31773,,46.51
高雄市,140,大寮區,3,璩美鳳,372,,0.54
高雄市,140,大寮區,4,蘇盈貴,533,,0.78
高雄市,150,大樹區,1,韓國瑜,12945,*,48.33
高雄市,150,大樹區,2,陳其邁,13493,,50.38
高雄市,150,大樹區,3,璩美鳳,174,,0.65
高雄市,150,大樹區,4,蘇盈貴,173,,0.65
高雄市,160,大社區,1,韓國瑜,10378,*,48.89
高雄市,160,大社區,2,陳其邁,10512,,49.52
高雄市,160,大社區,3,璩美鳳,142,,0.67
高雄市,160,大社區,4,蘇盈貴,197,,0.93
高雄市,170,仁武區,1,韓國瑜,26659,*,51.4
高雄市,170,仁武區,2,陳其邁,24543,,47.32
高雄市,170,仁武區,3,璩美鳳,250,,0.48
高雄市,170,仁武區,4,蘇盈貴,412,,0.79
高雄市,180,鳥松區,1,韓國瑜,14410,*,52.23
高雄市,180,鳥松區,2,陳其邁,12806,,46.42
高雄市,180,鳥松區,3,璩美鳳,115,,0.42
高雄市,180,鳥松區,4,蘇盈貴,258,,0.94
高雄市,190,岡山區,1,韓國瑜,32410,*,54.93
高雄市,190,岡山區,2,陳其邁,25829,,43.78
高雄市,190,岡山區,3,璩美鳳,313,,0.53
高雄市,190,岡山區,4,蘇盈貴,446,,0.76
高雄市,200,橋頭區,1,韓國瑜,10888,*,44.45
高雄市,200,橋頭區,2,陳其邁,13256,,54.11
高雄市,200,橋頭區,3,璩美鳳,146,,0.6
高雄市,200,橋頭區,4,蘇盈貴,207,,0.85
高雄市,210,燕巢區,1,韓國瑜,9448,*,50.88
高雄市,210,燕巢區,2,陳其邁,8871,,47.77
高雄市,210,燕巢區,3,璩美鳳,120,,0.65
高雄市,210,燕巢區,4,蘇盈貴,130,,0.7
高雄市,220,田寮區,1,韓國瑜,2252,*,43.58
高雄市,220,田寮區,2,陳其邁,2768,,53.56
高雄市,220,田寮區,3,璩美鳳,135,,2.61
高雄市,220,田寮區,4,蘇盈貴,13,,0.25
高雄市,230,阿蓮區,1,韓國瑜,8322,*,47.12
高雄市,230,阿蓮區,2,陳其邁,8958,,50.72
高雄市,230,阿蓮區,3,璩美鳳,254,,1.44
高雄市,230,阿蓮區,4,蘇盈貴,126,,0.71
